Species,Collected,Location
adelpha,1,Alpine
azurea,1,Alpine
caddo,1,Alpine
chrysoela,0,Alpine
cribraria,0,Alpine
femorata,2,Alpine
quadriimpressa,1,Alpine
shawnee,2,Alpine
adelpha,0,Kreher
azurea,0,Kreher
caddo,0,Kreher
chrysoela,0,Kreher
cribraria,0,Kreher
femorata,0,Kreher
quadriimpressa,1,Kreher
shawnee,2,Kreher
adelpha,4,Mobile
azurea,0,Mobile
caddo,1,Mobile
chrysoela,15,Mobile
cribraria,8,Mobile
femorata,2,Mobile
quadriimpressa,9,Mobile
shawnee,31,Mobile
